si,ri,avg_community_size,community_count,sybil_wallet_count
0.2,260,7.927320490367776,1142,9053
0.2,270,7.853403141361256,1146,9000
0.2,280,7.766031195840554,1154,8962
0.2,290,7.748038360941587,1147,8887
0.2,300,7.696521739130435,1150,8851
0.2,310,7.667247386759582,1148,8802
0.2,320,7.590987868284229,1154,8760
0.2,330,7.554019014693172,1157,8740
0.2,340,7.497418244406196,1162,8712
0.2,350,7.529565217391304,1150,8659
0.2,360,7.400687876182287,1163,8607
0.2,370,7.37617823479006,1167,8608
0.2,380,7.352739726027397,1168,8588
0.2,390,7.3592400690846285,1158,8522
0.2,400,7.344559585492228,1158,8505
0.2,410,7.295081967213115,1159,8455
0.2,420,7.289541918755402,1157,8434
0.2,430,7.243755383290267,1161,8410
0.2,440,7.212931034482758,1160,8367
0.2,450,7.191910499139415,1162,8357
0.2,460,7.1427343078245915,1163,8307
0.2,470,7.137781629116118,1154,8237
0.2,480,7.183727034120735,1143,8211
0.2,490,7.090830449826989,1156,8197
0.2,500,7.135726795096322,1142,8149
0.2,510,7.105676855895196,1145,8136
0.2,520,7.032090199479619,1153,8108
0.2,530,7.0725524475524475,1144,8091
0.2,540,6.9534081104400345,1159,8059
0.2,550,6.9299913569576495,1157,8018
0.2,560,6.976460331299041,1147,8002
0.2,570,6.874246339362618,1161,7981
0.2,580,6.946724890829694,1145,7954
0.2,590,6.894097222222222,1152,7942
0.2,600,6.8,1160,7888
0.2,610,6.805699481865285,1158,7881
0.2,620,6.786516853932584,1157,7852
0.2,630,6.806591500433651,1153,7848
0.2,640,6.784843205574913,1148,7789
0.2,650,6.738301559792028,1154,7776
0.2,660,6.695689655172414,1160,7767
0.2,670,6.697231833910035,1156,7742
0.2,680,6.691507798960139,1154,7722
0.2,690,6.651384083044983,1156,7689
0.2,700,6.613264427217915,1161,7678
0.2,710,6.583690987124464,1165,7670
0.2,720,6.573024054982818,1164,7651
0.2,730,6.591695501730104,1156,7620
0.2,740,6.520618556701031,1164,7590
0.2,750,6.518518518518518,1161,7568
0.2,760,6.54025974025974,1155,7554
0.2,770,6.52034632034632,1155,7531
0.2,780,6.4788610871440895,1159,7509
0.2,790,6.429305912596401,1167,7503
0.2,800,6.432618025751073,1165,7494
0.2,810,6.410852713178294,1161,7443
0.2,820,6.396210163652024,1161,7426
0.2,830,6.402933563416738,1159,7421
0.2,840,6.356529209621993,1164,7399
0.2,850,6.326198630136986,1168,7389
0.2,860,6.282423208191126,1172,7363
0.2,870,6.29553264604811,1164,7328
0.2,880,6.277397260273973,1168,7332
0.2,890,6.292347377472055,1163,7318
0.2,900,6.191201353637902,1182,7318
0.2,910,6.2301790281329925,1173,7308
0.2,920,6.175021240441801,1177,7268
0.2,930,6.206159110350727,1169,7255
0.2,940,6.142006802721088,1176,7223
0.2,950,6.14957264957265,1170,7195
0.2,960,6.167381974248927,1165,7185
0.2,970,6.120719178082192,1168,7149
0.2,980,6.135461604831751,1159,7111
0.2,990,6.079487179487179,1170,7113
